2025-07-01 02:06:31 startup archives unpack
2025-07-01 02:06:31 install vim-runtime:all <none> 2:9.0.1378-2+deb12u2
2025-07-01 02:06:31 status half-installed vim-runtime:all 2:9.0.1378-2+deb12u2
2025-07-01 02:06:32 status triggers-pending man-db:arm64 2.11.2-2
2025-07-01 02:06:36 status unpacked vim-runtime:all 2:9.0.1378-2+deb12u2
2025-07-01 02:06:36 install vim:arm64 <none> 2:9.0.1378-2+deb12u2
2025-07-01 02:06:36 status half-installed vim:arm64 2:9.0.1378-2+deb12u2
2025-07-01 02:06:36 status unpacked vim:arm64 2:9.0.1378-2+deb12u2
2025-07-01 02:06:36 startup packages configure
2025-07-01 02:06:36 configure vim-runtime:all 2:9.0.1378-2+deb12u2 <none>
2025-07-01 02:06:36 status unpacked vim-runtime:all 2:9.0.1378-2+deb12u2
2025-07-01 02:06:36 status half-configured vim-runtime:all 2:9.0.1378-2+deb12u2
2025-07-01 02:06:37 status installed vim-runtime:all 2:9.0.1378-2+deb12u2
2025-07-01 02:06:37 configure vim:arm64 2:9.0.1378-2+deb12u2 <none>
2025-07-01 02:06:37 status unpacked vim:arm64 2:9.0.1378-2+deb12u2
2025-07-01 02:06:37 status half-configured vim:arm64 2:9.0.1378-2+deb12u2
2025-07-01 02:06:37 status installed vim:arm64 2:9.0.1378-2+deb12u2
2025-07-01 02:06:37 trigproc man-db:arm64 2.11.2-2 <none>
2025-07-01 02:06:37 status half-configured man-db:arm64 2.11.2-2
2025-07-01 02:06:39 status installed man-db:arm64 2.11.2-2
2025-07-01 02:16:48 startup archives unpack
2025-07-01 02:16:48 install libapr1:arm64 <none> 1.7.2-3+deb12u1
2025-07-01 02:16:48 status triggers-pending libc-bin:arm64 2.36-9+rpt2+deb12u10
2025-07-01 02:16:48 status half-installed libapr1:arm64 1.7.2-3+deb12u1
2025-07-01 02:16:48 status unpacked libapr1:arm64 1.7.2-3+deb12u1
2025-07-01 02:16:49 install libaprutil1:arm64 <none> 1.6.3-1
2025-07-01 02:16:49 status half-installed libaprutil1:arm64 1.6.3-1
2025-07-01 02:16:49 status unpacked libaprutil1:arm64 1.6.3-1
2025-07-01 02:16:49 install libaprutil1-dbd-sqlite3:arm64 <none> 1.6.3-1
2025-07-01 02:16:49 status half-installed libaprutil1-dbd-sqlite3:arm64 1.6.3-1
2025-07-01 02:16:49 status unpacked libaprutil1-dbd-sqlite3:arm64 1.6.3-1
2025-07-01 02:16:49 install libaprutil1-ldap:arm64 <none> 1.6.3-1
2025-07-01 02:16:49 status half-installed libaprutil1-ldap:arm64 1.6.3-1
2025-07-01 02:16:49 status unpacked libaprutil1-ldap:arm64 1.6.3-1
2025-07-01 02:16:49 install apache2-bin:arm64 <none> 2.4.62-1~deb12u2
2025-07-01 02:16:49 status half-installed apache2-bin:arm64 2.4.62-1~deb12u2
2025-07-01 02:16:49 status triggers-pending man-db:arm64 2.11.2-2
2025-07-01 02:16:49 status unpacked apache2-bin:arm64 2.4.62-1~deb12u2
2025-07-01 02:16:49 install apache2-data:all <none> 2.4.62-1~deb12u2
2025-07-01 02:16:49 status half-installed apache2-data:all 2.4.62-1~deb12u2
2025-07-01 02:16:50 status unpacked apache2-data:all 2.4.62-1~deb12u2
2025-07-01 02:16:50 install apache2-utils:arm64 <none> 2.4.62-1~deb12u2
2025-07-01 02:16:50 status half-installed apache2-utils:arm64 2.4.62-1~deb12u2
2025-07-01 02:16:50 status unpacked apache2-utils:arm64 2.4.62-1~deb12u2
2025-07-01 02:16:50 install apache2:arm64 <none> 2.4.62-1~deb12u2
2025-07-01 02:16:50 status half-installed apache2:arm64 2.4.62-1~deb12u2
2025-07-01 02:16:50 status unpacked apache2:arm64 2.4.62-1~deb12u2
2025-07-01 02:16:51 install php-common:all <none> 2:93
2025-07-01 02:16:51 status half-installed php-common:all 2:93
2025-07-01 02:16:51 status unpacked php-common:all 2:93
2025-07-01 02:16:51 install php8.2-common:arm64 <none> 8.2.28-1~deb12u1
2025-07-01 02:16:51 status half-installed php8.2-common:arm64 8.2.28-1~deb12u1
2025-07-01 02:16:51 status unpacked php8.2-common:arm64 8.2.28-1~deb12u1
2025-07-01 02:16:51 install php8.2-opcache:arm64 <none> 8.2.28-1~deb12u1
2025-07-01 02:16:51 status half-installed php8.2-opcache:arm64 8.2.28-1~deb12u1
2025-07-01 02:16:51 status unpacked php8.2-opcache:arm64 8.2.28-1~deb12u1
2025-07-01 02:16:52 install php8.2-readline:arm64 <none> 8.2.28-1~deb12u1
2025-07-01 02:16:52 status half-installed php8.2-readline:arm64 8.2.28-1~deb12u1
2025-07-01 02:16:52 status unpacked php8.2-readline:arm64 8.2.28-1~deb12u1
2025-07-01 02:16:52 install php8.2-cli:arm64 <none> 8.2.28-1~deb12u1
2025-07-01 02:16:52 status half-installed php8.2-cli:arm64 8.2.28-1~deb12u1
2025-07-01 02:16:52 status unpacked php8.2-cli:arm64 8.2.28-1~deb12u1
2025-07-01 02:16:52 install libapache2-mod-php8.2:arm64 <none> 8.2.28-1~deb12u1
2025-07-01 02:16:52 status half-installed libapache2-mod-php8.2:arm64 8.2.28-1~deb12u1
2025-07-01 02:16:53 status unpacked libapache2-mod-php8.2:arm64 8.2.28-1~deb12u1
2025-07-01 02:16:53 install php8.2:all <none> 8.2.28-1~deb12u1
2025-07-01 02:16:53 status half-installed php8.2:all 8.2.28-1~deb12u1
2025-07-01 02:16:53 status unpacked php8.2:all 8.2.28-1~deb12u1
2025-07-01 02:16:53 install php:all <none> 2:8.2+93
2025-07-01 02:16:53 status half-installed php:all 2:8.2+93
2025-07-01 02:16:53 status unpacked php:all 2:8.2+93
2025-07-01 02:16:53 startup packages configure
2025-07-01 02:16:53 configure php-common:all 2:93 <none>
2025-07-01 02:16:53 status unpacked php-common:all 2:93
2025-07-01 02:16:53 status half-configured php-common:all 2:93
2025-07-01 02:16:55 status installed php-common:all 2:93
2025-07-01 02:16:55 configure php8.2-common:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:16:55 status unpacked php8.2-common:arm64 8.2.28-1~deb12u1
2025-07-01 02:16:55 status half-configured php8.2-common:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:11 status installed php8.2-common:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:11 configure php8.2-opcache:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:17:11 status unpacked php8.2-opcache:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:11 status half-configured php8.2-opcache:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:12 status installed php8.2-opcache:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:12 configure php8.2-readline:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:17:12 status unpacked php8.2-readline:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:12 status half-configured php8.2-readline:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:13 status installed php8.2-readline:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:13 configure libapr1:arm64 1.7.2-3+deb12u1 <none>
2025-07-01 02:17:13 status unpacked libapr1:arm64 1.7.2-3+deb12u1
2025-07-01 02:17:13 status half-configured libapr1:arm64 1.7.2-3+deb12u1
2025-07-01 02:17:13 status installed libapr1:arm64 1.7.2-3+deb12u1
2025-07-01 02:17:13 configure apache2-data:all 2.4.62-1~deb12u2 <none>
2025-07-01 02:17:13 status unpacked apache2-data:all 2.4.62-1~deb12u2
2025-07-01 02:17:13 status half-configured apache2-data:all 2.4.62-1~deb12u2
2025-07-01 02:17:13 status installed apache2-data:all 2.4.62-1~deb12u2
