2025/07/01 02:18:12 [notice] 9788#9788: using inherited sockets from "5;6;"
2025/07/01 02:30:08 [crit] 14855#14855: *3 connect() to unix:/run/php/php7.4-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.168.68.93, server: _, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.4-fpm.sock:", host: "192.168.68.96"
2025/07/01 02:30:13 [crit] 14855#14855: *3 connect() to unix:/run/php/php7.4-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.168.68.93, server: _, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.4-fpm.sock:", host: "192.168.68.96"
2025/07/01 02:30:18 [crit] 14855#14855: *3 connect() to unix:/run/php/php7.4-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.168.68.93, server: _, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.4-fpm.sock:", host: "192.168.68.96"
2025/07/01 02:30:24 [crit] 14855#14855: *3 connect() to unix:/run/php/php7.4-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.168.68.93, server: _, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.4-fpm.sock:", host: "192.168.68.96"
2025/07/01 02:30:24 [crit] 14855#14855: *3 connect() to unix:/run/php/php7.4-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.168.68.93, server: _, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.4-fpm.sock:", host: "192.168.68.96"
2025/07/01 02:30:24 [crit] 14855#14855: *3 connect() to unix:/run/php/php7.4-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.168.68.93, server: _, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.4-fpm.sock:", host: "192.168.68.96"
2025/07/01 02:30:25 [crit] 14855#14855: *3 connect() to unix:/run/php/php7.4-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.168.68.93, server: _, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.4-fpm.sock:", host: "192.168.68.96"
2025/07/01 21:46:16 [error] 3206#3206: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.68.93, server: _, request: "GET /api/weatherforecast HTTP/1.1", upstream: "http://[::1]:5000/weatherforecast", host: "192.168.68.96", referrer: "http://192.168.68.96/index.html"
2025/07/01 21:54:03 [error] 3208#3208: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.68.93, server: _, request: "GET /api/weatherforecast HTTP/1.1", upstream: "http://[::1]:5000/weatherforecast", host: "192.168.68.96", referrer: "http://192.168.68.96/"
2025/07/01 21:54:03 [error] 3208#3208: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.68.93, server: _, request: "GET /api/weatherforecast HTTP/1.1", upstream: "http://127.0.0.1:5000/weatherforecast", host: "192.168.68.96", referrer: "http://192.168.68.96/"
2025/07/01 21:54:05 [error] 3208#3208: *4 no live upstreams while connecting to upstream, client: 192.168.68.93, server: _, request: "GET /api/weatherforecast HTTP/1.1", upstream: "http://localhost/weatherforecast", host: "192.168.68.96", referrer: "http://192.168.68.96/"
2025/07/01 21:54:05 [error] 3208#3208: *4 no live upstreams while connecting to upstream, client: 192.168.68.93, server: _, request: "GET /api/weatherforecast HTTP/1.1", upstream: "http://localhost/weatherforecast", host: "192.168.68.96", referrer: "http://192.168.68.96/"
2025/07/01 21:54:05 [error] 3208#3208: *4 no live upstreams while connecting to upstream, client: 192.168.68.93, server: _, request: "GET /api/weatherforecast HTTP/1.1", upstream: "http://localhost/weatherforecast", host: "192.168.68.96", referrer: "http://192.168.68.96/"
2025/07/01 21:54:59 [error] 3207#3207: *12 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.68.93, server: _, request: "GET /api/weatherforecast HTTP/1.1", upstream: "http://[::1]:5000/weatherforecast", host: "192.168.68.96", referrer: "http://192.168.68.96/"
2025/07/01 21:54:59 [error] 3207#3207: *12 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.68.93, server: _, request: "GET /api/weatherforecast HTTP/1.1", upstream: "http://127.0.0.1:5000/weatherforecast", host: "192.168.68.96", referrer: "http://192.168.68.96/"
2025/07/01 21:55:00 [error] 3207#3207: *12 no live upstreams while connecting to upstream, client: 192.168.68.93, server: _, request: "GET /api/weatherforecast HTTP/1.1", upstream: "http://localhost/weatherforecast", host: "192.168.68.96", referrer: "http://192.168.68.96/"
2025/07/01 21:55:00 [error] 3207#3207: *12 no live upstreams while connecting to upstream, client: 192.168.68.93, server: _, request: "GET /api/weatherforecast HTTP/1.1", upstream: "http://localhost/weatherforecast", host: "192.168.68.96", referrer: "http://192.168.68.96/"
